Date, Type, Company, Symbol, Firm, Rating, Price_str, Price_int, Actual, Percent_Diff
09-Jul-2012,Downgrades,Bridgepoint Education,BPI,Barrington Research,Outperform &#187; Mkt Perform,,,12.27,0.0
09-Jul-2012,Downgrades,MasterCard,MA,UBS,Neutral &#187; Sell,$457 &#187; $403,403,59.23,-85.3027
09-Jul-2012,Downgrades,Visa,V,UBS,Neutral &#187; Sell,$127 &#187; $113,113,186.14,64.7257
09-Jul-2012,Downgrades,Medifast,MED,Standpoint Research,Buy &#187; Hold,,,28.86,0.0
09-Jul-2012,Downgrades,Wintrust Fin,WTFC,Oppenheimer,Outperform &#187; Perform,,,40.17,0.0
09-Jul-2012,Downgrades,Western Alliance Bancorp,WAL,Oppenheimer,Outperform &#187; Perform,,,17.1,0.0
09-Jul-2012,Downgrades,Cousins Prop,CUZ,Cantor Fitzgerald,Hold &#187; Sell,,,10.16,0.0
09-Jul-2012,Downgrades,Young Innovations,YDNT,Robert W. Baird,Outperform &#187; Neutral,$36 &#187; $36,36,,0.0
09-Jul-2012,Downgrades,PetSmart,PETM,Needham,Buy &#187; Hold,,,68.97,0.0
09-Jul-2012,Downgrades,SolarWinds,SWI,FBR Capital,Outperform &#187; Mkt Perform,$47,47,43.19,-8.1064
09-Jul-2012,Downgrades,Public Storage,PSA,Robert W. Baird,Outperform &#187; Neutral,$148,148,152.62,3.1216
09-Jul-2012,Coverage Initiated,Equinix,EQIX,Deutsche Bank,Buy,$225,225,187,-16.8889
09-Jul-2012,Coverage Initiated,MTR Gaming,MNTG,Imperial Capital,Outperform,$8.75,8.75,3.38,-61.3714
09-Jul-2012,Coverage Initiated,Entropic Comms,ENTR,Needham,Buy,$8,8,4.22,-47.25
09-Jul-2012,Coverage Resumed,Eastman,EMN,Deutsche Bank,Buy,$48 &#187; $63,63,72.8,15.5556
09-Jul-2012,Coverage Reit/Price Tgt Changed*,Biogen Idec,BIIB,Stifel,Buy,$144 &#187; $167,167,219.26,31.2934
09-Jul-2012,Coverage Reit/Price Tgt Changed*,Marvell,MRVL,Stifel,Buy,$18 &#187; $16.50,16.50,11.62,-29.5758
09-Jul-2012,Coverage Reit/Price Tgt Changed*,Symantec,SYMC,Wunderlich,Buy,$22 &#187; $19,19,22.57,18.7895
09-Jul-2012,Coverage Reit/Price Tgt Changed*,VMware,VMW,Wunderlich,Buy,$120 &#187; $100,100,66.13,-33.87
09-Jul-2012,Coverage Reit/Price Tgt Changed*,Commvault Systems,CVLT,Wunderlich,Hold,$56 &#187; $44,44,79.76,81.2727
09-Jul-2012,Coverage Reit/Price Tgt Changed*,Sovran Self Storage,SSS,Robert W. Baird,Outperform,$54 &#187; $57,57,66.18,16.1053
06-Jul-2012,Downgrades,Informatica,INFA,Deutsche Bank,Buy &#187; Hold,$53 &#187; $35,35,,0.0
06-Jul-2012,Downgrades,Deckers Outdoor,DECK,Longbow,Buy &#187; Neutral,,,,0.0
06-Jul-2012,Downgrades,Weyerhaeuser,WY,DA Davidson,Buy &#187; Neutral,$27 &#187; $23,23,,0.0
06-Jul-2012,Downgrades,Seagate Tech,STX,Robert W. Baird,Outperform &#187; Neutral,$33 &#187; $27,27,,0.0
06-Jul-2012,Coverage Initiated,Imperva,IMPV,William Blair,Outperform,,,,0.0
06-Jul-2012,Coverage Reit/Price Tgt Changed*,Informatica,INFA,UBS,Buy,$55 &#187; $45,45,,0.0
06-Jul-2012,Coverage Reit/Price Tgt Changed*,IDEX Corp,IEX,UBS,Neutral,$46 &#187; $43,43,,0.0
06-Jul-2012,Coverage Reit/Price Tgt Changed*,Informatica,INFA,Oppenheimer,Outperform,$57 &#187; $46,46,,0.0
06-Jul-2012,Coverage Reit/Price Tgt Changed*,Oracle,ORCL,Oppenheimer,Outperform,$30 &#187; $33,33,,0.0
06-Jul-2012,Coverage Reit/Price Tgt Changed*,Juniper Networks,JNPR,Mizuho,Neutral,$20 &#187; $17,17,,0.0
06-Jul-2012,Coverage Reit/Price Tgt Changed*,Ross Stores,ROST,FBR Capital,Outperform,$70 &#187; $75,75,,0.0
06-Jul-2012,Coverage Reit/Price Tgt Changed*,TJX,TJX,Avondale,Mkt Outperform,$49 &#187; $51,51,,0.0
06-Jul-2012,Coverage Reit/Price Tgt Changed*,Ross Stores,ROST,Avondale,Mkt Outperform,$74 &#187; $77,77,,0.0
05-Jul-2012,Upgrades,China Unicom Hong Kong,CHU,HSBC Securities,Underweight &#187; Neutral,,,13.35,0.0
05-Jul-2012,Downgrades,OraSure,OSUR,Barrington Research,Outperform &#187; Mkt Perform,,,4.18,0.0
05-Jul-2012,Downgrades,Landauer,LDR,Hilliard Lyons,Buy &#187; Neutral,,,47.35,0.0
05-Jul-2012,Downgrades,Leapfrog,LF,Needham,Buy &#187; Hold,,,10.57,0.0
05-Jul-2012,Downgrades,ArcelorMittal,MT,HSBC Securities,Overweight &#187; Neutral,$18.30,18.30,11.19,-38.8525
05-Jul-2012,Downgrades,Advanced Micro,AMD,Sterne Agee,Buy &#187; Neutral,$8.50,8.50,4.07,-52.1176
05-Jul-2012,Coverage Initiated,RPX,RPXC,GARP Research,Buy,,,16.76,0.0
05-Jul-2012,Coverage Initiated,Solta Medical,SLTM,Ascendiant Capital Markets,Buy,$3.50,3.50,2.34,-33.1429
05-Jul-2012,Coverage Reit/Price Tgt Changed*,Buckle,BKE,Imperial Capital,In-line,$48 &#187; $43,43,50.94,18.4651
05-Jul-2012,Coverage Reit/Price Tgt Changed*,EMC,EMC,Oppenheimer,Outperform,$34 &#187; $32,32,23.94,-25.1875
05-Jul-2012,Coverage Reit/Price Tgt Changed*,KVH Industries,KVHI,Needham,Buy,$12 &#187; $16,16,14.43,-9.8125
05-Jul-2012,Coverage Reit/Price Tgt Changed*,AOL,AOL,Needham,Buy,$31 &#187; $34,34,36.45,7.2059
03-Jul-2012,Upgrades,NETGEAR,NTGR,Barclays,Equal Weight &#187; Overweight,$40 &#187; $45,45,32.08,-28.7111
03-Jul-2012,Upgrades,Gardner Denver,GDI,Capstone Investments,Hold &#187; Buy,$65,65,75.66,16.4
03-Jul-2012,Downgrades,Interdigital Comm,IDCC,Barclays,Overweight &#187; Equal Weight,$38 &#187; $32,32,37.66,17.6875
03-Jul-2012,Downgrades,ADTRAN,ADTN,Barclays,Overweight &#187; Equal Weight,$35 &#187; $32,32,24.82,-22.4375
03-Jul-2012,Downgrades,Olin,OLN,Longbow,Neutral &#187; Sell,$17,17,23.41,37.7059
03-Jul-2012,Downgrades,Lumber Liquidators,LL,KeyBanc Capital Mkts,Buy &#187; Hold,,,80.38,0.0
03-Jul-2012,Downgrades,Anworth Mortgage,ANH,Stifel,Buy &#187; Hold,,,5.06,0.0
03-Jul-2012,Downgrades,Bank of Kentucky,BKYF,Robert W. Baird,Outperform &#187; Neutral,$26 &#187; $26,26,28.36,9.0769
03-Jul-2012,Downgrades,Triangle Capital,TCAP,Robert W. Baird,Outperform &#187; Neutral,$23 &#187; $23,23,26.83,16.6522
03-Jul-2012,Downgrades,SandRidge Mississippian Trust I,SDT,Wunderlich,Hold &#187; Sell,$27 &#187; $23,23,12.01,-47.7826
03-Jul-2012,Downgrades,SandRidge Permian Trust,PER,Wunderlich,Buy &#187; Hold,$24.50 &#187; $20.50,20.50,13.11,-36.0488
03-Jul-2012,Coverage Initiated,Healthsouth,HLS,UBS,Buy,$30,30,28.86,-3.8
03-Jul-2012,Coverage Initiated,Dentsply,XRAY,UBS,Neutral,$41,41,41.03,0.073171
03-Jul-2012,Coverage Initiated,Kindred Healthcare,KND,UBS,Neutral,$10,10,12.44,24.4
03-Jul-2012,Coverage Initiated,Select Medical,SEM,UBS,Buy,$12.50,12.50,7.75,-38
03-Jul-2012,Coverage Initiated,Skilled Healthcare,SKH,UBS,Neutral,$6.50,6.50,6.17,-5.0769
03-Jul-2012,Coverage Initiated,Sun Healthcare,SUNH,UBS,Neutral,$8.50,8.50,,0.0
03-Jul-2012,Coverage Initiated,Stewart Enterpr,STEI,UBS,Buy,$8.50,8.50,13.03,53.2941
03-Jul-2012,Coverage Initiated,BioDelivery Sciences,BDSI,JMP Securities,Mkt Outperform,$9,9,4.34,-51.7778
03-Jul-2012,Coverage Initiated,Gran Tierra Energy,GTE,Global Hunter Securities,Buy,$6.50,6.50,6.08,-6.4615
03-Jul-2012,Coverage Initiated,RealD,RLD,Imperial Capital,In-line,$14.75,14.75,13.85,-6.1017
03-Jul-2012,Coverage Initiated,BioClinica,BIOC,The Benchmark Company,Buy,$8,8,,0.0
03-Jul-2012,Coverage Reit/Price Tgt Changed*,SS&amp;C Techs,SSNC,Needham,Buy,$26 &#187; $30,30,33.17,10.5667
02-Jul-2012,Upgrades,Pioneer Natural Resources,PXD,Barclays,Equal Weight &#187; Overweight,$122 &#187; $104,104,149.87,44.1058
02-Jul-2012,Upgrades,Concho Resources,CXO,Barclays,Equal Weight &#187; Overweight,$114 &#187; $105,105,84.6,-19.4286
02-Jul-2012,Upgrades,TIBCO Software,TIBX,Hilliard Lyons,Neutral &#187; Long-term Buy,$35,35,21.69,-38.0286
02-Jul-2012,Upgrades,Norfolk Southern,NSC,BB&amp;T Capital Mkts,Hold &#187; Buy,,,70.89,0.0
02-Jul-2012,Upgrades,Tiffany &amp; Co,TIF,Canaccord Genuity,Hold &#187; Buy,$63,63,71.92,14.1587
02-Jul-2012,Upgrades,GATX,GMT,KeyBanc Capital Mkts,Hold &#187; Buy,$45,45,46.07,2.3778
02-Jul-2012,Upgrades,KKR,KKR,Oppenheimer,Perform &#187; Outperform,$18,18,18.4,2.2222
02-Jul-2012,Downgrades,Fossil,FOSL,KeyBanc Capital Mkts,Buy &#187; Hold,,,106.05,0.0
02-Jul-2012,Downgrades,WPX Energy,WPX,Barclays,Overweight &#187; Equal Weight,$24 &#187; $19,19,18.83,-0.89474
02-Jul-2012,Downgrades,Ultra Petroleum,UPL,Barclays,Equal Weight &#187; Underweight,$13 &#187; $13,13,19.91,53.1538
02-Jul-2012,Downgrades,Symetra Financial,SYA,Barclays,Equal Weight &#187; Underweight,$13 &#187; $10,10,16.14,61.4
02-Jul-2012,Downgrades,Quicksilver Resrcs,KWK,Barclays,Equal Weight &#187; Underweight,$3 &#187; $3,3,1.73,-42.3333
02-Jul-2012,Downgrades,Penn Virginia,PVA,Barclays,Equal Weight &#187; Underweight,$5 &#187; $4,4,4.84,21
02-Jul-2012,Downgrades,OpenTable,OPEN,Barclays,Overweight &#187; Equal Weight,$50 &#187; $43,43,63.69,48.1163
02-Jul-2012,Downgrades,Lincoln National,LNC,Barclays,Equal Weight &#187; Underweight,$30 &#187; $20,20,37.06,85.3
02-Jul-2012,Downgrades,Forest Oil,FST,Barclays,Overweight &#187; Equal Weight,$12 &#187; $8,8,4.15,-48.125
02-Jul-2012,Downgrades,Devon Energy,DVN,Barclays,Overweight &#187; Equal Weight,$82 &#187; $67,67,52.66,-21.403
02-Jul-2012,Downgrades,Allied World Assurance,AWH,Barclays,Equal Weight &#187; Underweight,$75 &#187; $70,70,90.26,28.9429
02-Jul-2012,Downgrades,Dollar Tree,DLTR,Deutsche Bank,Buy &#187; Hold,$108 &#187; $54,54,51.95,-3.7963
02-Jul-2012,Downgrades,Progressive,PGR,Deutsche Bank,Hold &#187; Sell,$19 &#187; $17,17,23.93,40.7647
